784;R;R-Peaks             
1717;R;R-Peaks             
2653;R;R-Peaks             
3574;R;R-Peaks             
4474;R;R-Peaks             
5376;R;R-Peaks             
6288;R;R-Peaks             
7199;R;R-Peaks             
8074;R;R-Peaks             
8946;R;R-Peaks             
9833;R;R-Peaks             
10746;R;R-Peaks             
11651;R;R-Peaks             
12552;R;R-Peaks             
13474;R;R-Peaks             
14410;R;R-Peaks             
15335;R;R-Peaks             
16222;R;R-Peaks             
17112;R;R-Peaks             
18001;R;R-Peaks             
18895;R;R-Peaks             
19784;R;R-Peaks             
20673;R;R-Peaks             
21572;R;R-Peaks             
22478;R;R-Peaks             
23353;R;R-Peaks             
24246;R;R-Peaks             
25138;R;R-Peaks             
26002;R;R-Peaks             
26845;R;R-Peaks             
27702;R;R-Peaks             
28586;R;R-Peaks             
29492;R;R-Peaks             
30370;R;R-Peaks             
31250;R;R-Peaks             
32147;R;R-Peaks             
33063;R;R-Peaks             
33948;R;R-Peaks             
34844;R;R-Peaks             
35760;R;R-Peaks             
36669;R;R-Peaks             
37571;R;R-Peaks             
38447;R;R-Peaks             
39351;R;R-Peaks             
40263;R;R-Peaks             
41166;R;R-Peaks             
42081;R;R-Peaks             
43030;R;R-Peaks             
43993;R;R-Peaks             
44934;R;R-Peaks             
45899;R;R-Peaks             
46866;R;R-Peaks             
47793;R;R-Peaks             
48698;R;R-Peaks             
49629;R;R-Peaks             
50569;R;R-Peaks             
51494;R;R-Peaks             
52442;R;R-Peaks             
53395;R;R-Peaks             
54320;R;R-Peaks             
55233;R;R-Peaks             
56168;R;R-Peaks             
57134;R;R-Peaks             
58121;R;R-Peaks             
59064;R;R-Peaks             
60003;R;R-Peaks             
60954;R;R-Peaks             
61913;R;R-Peaks             
62859;R;R-Peaks             
63785;R;R-Peaks             
64741;R;R-Peaks             
65725;R;R-Peaks             
66700;R;R-Peaks             
67632;R;R-Peaks             
68567;R;R-Peaks             
69528;R;R-Peaks             
70473;R;R-Peaks             
71400;R;R-Peaks             
72369;R;R-Peaks             
73330;R;R-Peaks             
74255;R;R-Peaks             
75201;R;R-Peaks             
76156;R;R-Peaks             
77080;R;R-Peaks             
77979;R;R-Peaks             
78852;R;R-Peaks             
79651;R;R-Peaks             
80437;R;R-Peaks             
81253;R;R-Peaks             
82057;R;R-Peaks             
82886;R;R-Peaks             
83681;R;R-Peaks             
84496;R;R-Peaks             
85277;R;R-Peaks             
86062;R;R-Peaks             
86859;R;R-Peaks             
87649;R;R-Peaks             
88401;R;R-Peaks             
89164;R;R-Peaks             
89923;R;R-Peaks             
90686;R;R-Peaks             
91481;R;R-Peaks             
92322;R;R-Peaks             
93201;R;R-Peaks             
94126;R;R-Peaks             
95115;R;R-Peaks             
96093;R;R-Peaks             
97033;R;R-Peaks             
98023;R;R-Peaks             
99019;R;R-Peaks             
99965;R;R-Peaks             
100929;R;R-Peaks             
101868;R;R-Peaks             
102777;R;R-Peaks             
103699;R;R-Peaks             
104629;R;R-Peaks             
105512;R;R-Peaks             
106375;R;R-Peaks             
107242;R;R-Peaks             
108093;R;R-Peaks             
108962;R;R-Peaks             
109822;R;R-Peaks             
110700;R;R-Peaks             
111577;R;R-Peaks             
112420;R;R-Peaks             
113253;R;R-Peaks             
114056;R;R-Peaks             
114858;R;R-Peaks             
115640;R;R-Peaks             
116411;R;R-Peaks             
117184;R;R-Peaks             
117970;R;R-Peaks             
118778;R;R-Peaks             
119591;R;R-Peaks             
120406;R;R-Peaks             
121237;R;R-Peaks             
122053;R;R-Peaks             
122876;R;R-Peaks             
123687;R;R-Peaks             
124489;R;R-Peaks             
125274;R;R-Peaks             
126034;R;R-Peaks             
126790;R;R-Peaks             
127524;R;R-Peaks             
128252;R;R-Peaks             
128986;R;R-Peaks             
129760;R;R-Peaks             
130551;R;R-Peaks             
131356;R;R-Peaks             
132173;R;R-Peaks             
132991;R;R-Peaks             
133799;R;R-Peaks             
134600;R;R-Peaks             
135412;R;R-Peaks             
136274;R;R-Peaks             
137167;R;R-Peaks             
138049;R;R-Peaks             
138941;R;R-Peaks             
139858;R;R-Peaks             
140772;R;R-Peaks             
141690;R;R-Peaks             
142580;R;R-Peaks             
143437;R;R-Peaks             
144302;R;R-Peaks             
145173;R;R-Peaks             
146041;R;R-Peaks             
146917;R;R-Peaks             
147837;R;R-Peaks             
148793;R;R-Peaks             
149749;R;R-Peaks             
150655;R;R-Peaks             
151563;R;R-Peaks             
152481;R;R-Peaks             
153405;R;R-Peaks             
154293;R;R-Peaks             
155196;R;R-Peaks             
156143;R;R-Peaks             
157083;R;R-Peaks             
157987;R;R-Peaks             
158885;R;R-Peaks             
159752;R;R-Peaks             
160593;R;R-Peaks             
161418;R;R-Peaks             
162263;R;R-Peaks             
163134;R;R-Peaks             
163998;R;R-Peaks             
164894;R;R-Peaks             
165812;R;R-Peaks             
166705;R;R-Peaks             
167617;R;R-Peaks             
168550;R;R-Peaks             
169453;R;R-Peaks             
170330;R;R-Peaks             
171189;R;R-Peaks             
172028;R;R-Peaks             
172841;R;R-Peaks             
173657;R;R-Peaks             
174504;R;R-Peaks             
175398;R;R-Peaks             
176360;R;R-Peaks             
177299;R;R-Peaks             
178210;R;R-Peaks             
179136;R;R-Peaks             
180033;R;R-Peaks             
180930;R;R-Peaks             
181827;R;R-Peaks             
182714;R;R-Peaks             
183593;R;R-Peaks             
184498;R;R-Peaks             
185414;R;R-Peaks             
186288;R;R-Peaks             
187137;R;R-Peaks             
187991;R;R-Peaks             
188853;R;R-Peaks             
189689;R;R-Peaks             
190512;R;R-Peaks             
191350;R;R-Peaks             
192164;R;R-Peaks             
192971;R;R-Peaks             
193759;R;R-Peaks             
194526;R;R-Peaks             
195293;R;R-Peaks             
196133;R;R-Peaks             
196990;R;R-Peaks             
197885;R;R-Peaks             
198803;R;R-Peaks             
199732;R;R-Peaks             
200592;R;R-Peaks             
201424;R;R-Peaks             
202271;R;R-Peaks             
203105;R;R-Peaks             
203935;R;R-Peaks             
204769;R;R-Peaks             
205650;R;R-Peaks             
206564;R;R-Peaks             
207509;R;R-Peaks             
208416;R;R-Peaks             
209301;R;R-Peaks             
210209;R;R-Peaks             
211103;R;R-Peaks             
211963;R;R-Peaks             
212826;R;R-Peaks             
213725;R;R-Peaks             
214658;R;R-Peaks             
215581;R;R-Peaks             
216515;R;R-Peaks             
217467;R;R-Peaks             
218434;R;R-Peaks             
219391;R;R-Peaks             
220296;R;R-Peaks             
221182;R;R-Peaks             
222058;R;R-Peaks             
222925;R;R-Peaks             
223770;R;R-Peaks             
224598;R;R-Peaks             
225449;R;R-Peaks             
226301;R;R-Peaks             
227123;R;R-Peaks             
227921;R;R-Peaks             
228688;R;R-Peaks             
229486;R;R-Peaks             
230312;R;R-Peaks             
231160;R;R-Peaks             
232028;R;R-Peaks             
232911;R;R-Peaks             
233791;R;R-Peaks             
234684;R;R-Peaks             
235568;R;R-Peaks             
236409;R;R-Peaks             
237236;R;R-Peaks             
238076;R;R-Peaks             
238931;R;R-Peaks             
239794;R;R-Peaks             
240660;R;R-Peaks             
241576;R;R-Peaks             
242515;R;R-Peaks             
243475;R;R-Peaks             
244392;R;R-Peaks             
245338;R;R-Peaks             
246297;R;R-Peaks             
247245;R;R-Peaks             
248144;R;R-Peaks             
249021;R;R-Peaks             
249918;R;R-Peaks             
250852;R;R-Peaks             
251787;R;R-Peaks             
252689;R;R-Peaks             
253565;R;R-Peaks             
254395;R;R-Peaks             
255209;R;R-Peaks             
256004;R;R-Peaks             
256815;R;R-Peaks             
257670;R;R-Peaks             
258580;R;R-Peaks             
259479;R;R-Peaks             
260393;R;R-Peaks             
261350;R;R-Peaks             
262314;R;R-Peaks             
263288;R;R-Peaks             
264242;R;R-Peaks             
265167;R;R-Peaks             
266102;R;R-Peaks             
267051;R;R-Peaks             
268001;R;R-Peaks             
268963;R;R-Peaks             
269875;R;R-Peaks             
270800;R;R-Peaks             
271745;R;R-Peaks             
272689;R;R-Peaks             
